rental_ym,day_type,station_name,gender,age_group,total_rides,avg_distance_km,avg_duration_min,avg_speed_kmh,avg_exercise,avg_co2
202302,Weekday,"2373. 개포동역 사거리",F,60대,2,0,90,0,391.89,4.17
202301,Weekend,"2237.서울남부터미널 대합실 입구",NULL,기타,18,0,180.5,0,517.765,4.93
202301,Weekend,"2237.서울남부터미널 대합실 입구",F,20대,26,0,171,0,474.68,4.325
202301,Weekend,"2237.서울남부터미널 대합실 입구",F,40대,8,0,67.5,0,191.855,1.865
202301,Weekend,"2237.서울남부터미널 대합실 입구",F,기타,12,0,138,0,299.46000000000004,3.2199999999999998
202301,Weekend,"2237.서울남부터미널 대합실 입구",M,20대,42,0,498.5,0,1842.8899999999999,16.575
202301,Weekend,"120. 신수동 사거리",F,30대,40,0,345.5,0,1006.19,9.64
202301,Weekend,"2237.서울남부터미널 대합실 입구",M,30대,42,0,628.5,0,1869.855,14.155000000000001
202302,Weekday,"2373. 개포동역 사거리",M,50대,18,0,281,0,1387.95,10.57
202302,Weekday,"2373. 개포동역 사거리",M,60대,20,0,653,0,2656.6,20.63
202301,Weekend,"120. 신수동 사거리",F,50대,4,0,88.5,0,131.57,1.405
202301,Weekend,"2237.서울남부터미널 대합실 입구",M,40대,71,0,731.5,0,1871.07,14.465
202301,Weekend,"120. 신수동 사거리",M,20대,28,0,182.5,0,1013.36,6.88
202301,Weekend,"2237.서울남부터미널 대합실 입구",M,50대,23,0,281,0,547.51,4.525
202301,Weekend,"2237.서울남부터미널 대합실 입구",M,60대,29,0,515,0,1482.585,11.935
202302,Weekday,"2375. 수서역 1번출구 앞",NULL,20대,142,0,1485,0,4959.735,43.745000000000005
202302,Weekday,"2375. 수서역 1번출구 앞",NULL,30대,59,0,431,0,1707.8049999999998,15.135
202301,Weekend,"120. 신수동 사거리",NULL,40대,14,0,502,0,2521.13,22.07
202302,Weekday,"2375. 수서역 1번출구 앞",NULL,40대,18,0,128,0,605.28,4.84
202302,Weekday,"2375. 수서역 1번출구 앞",NULL,50대,44,0,342,0,1221.705,10.155
202301,Weekend,"120. 신수동 사거리",NULL,50대,2,0,56,0,354.28,3.05
202301,Weekend,"2237.서울남부터미널 대합실 입구",M,~10대,7,0,243.5,0,799.76,6.46
202302,Weekday,"2375. 수서역 1번출구 앞",NULL,60대,7,0,130.5,0,520.01,4.534999999999999
202301,Weekend,"2237.서울남부터미널 대합실 입구",M,기타,12,0,140.5,0,268.465,2.1149999999999998
202302,Weekday,"2375. 수서역 1번출구 앞",NULL,기타,13,0,171,0,421.8733333333333,3.8466666666666662
202302,Weekday,"2375. 수서역 1번출구 앞",F,20대,24,0,178.5,0,505.11,5.31
202302,Weekday,"2375. 수서역 1번출구 앞",F,30대,65,0,734.5,0,2316.465,22.27
202301,Weekend,"2237.서울남부터미널 대합실 입구",NULL,40대,27,0,452,0,1724.7,13.01
202302,Weekday,"2375. 수서역 1번출구 앞",F,40대,12,0,293,0,1228.79,13.775
202302,Weekday,"2375. 수서역 1번출구 앞",F,50대,35,0,481,0,1234.995,12.54
202301,Weekend,"120. 신수동 사거리",M,30대,24,0,226,0,848,6.45
202302,Weekday,"2375. 수서역 1번출구 앞",F,~10대,6,0,38,0,91.595,1.1300000000000001
202301,Weekend,"2237.서울남부터미널 대합실 입구",NULL,50대,12,0,105,0,333.44,2.97
